Player,ShotsorSaves,ShotsorSavesAgainstOpponent,ShotsorSavesinMarch,ShotsorSavesatHome
Jonathan Toews,2.53490566037736,2.75,2.55491329479769,2.63857677902622
Reese Johnson,0.784090909090909,0,0.697674418604651,1
Alex Stalock,24.8,23.9230769230769,22.6,23.7869822485207
Tyler Johnson,1.88888888888889,2.04885496183206,2.11111111111111,2.0030487804878
Jarred Tinordi,0.701388888888889,0.4,0.746268656716418,0.710526315789474
Petr Mrazek,24.9322033898305,25.1529051987768,21.6363636363636,24.2547770700637
Colin Blackwell,1.25274725274725,1.20418848167539,1.46153846153846,1.25
Connor Murphy,0.75,1.41758241758242,2,1.56603773584906
Jujhar Khaira,0.96,1.04968944099379,1.1358024691358,1.125
Andreas Athanasiou,1.6,2.19187358916479,2.1685393258427,2.10502283105023
Buddy Robinson,1.14285714285714,1.09259259259259,1.09090909090909,1.5
Jason Dickinson,0.888888888888889,1.2231884057971,1.27840909090909,1.25423728813559
Seth Jones,1.94736842105263,2.19747899159664,2.05882352941176,2.37396121883657
Andreas Englund,0.554054054054054,0,0.375,0.513513513513514
Anders Bjork,0.981481481481482,0.6,1.08108108108108,1.11764705882353
Caleb Jones,0.333333333333333,1.02487562189055,1.03960396039604,0.806451612903226
Austin Wagner,0.333333333333333,1.50877192982456,1.35632183908046,1.32
Joey Anderson,2.49394673123487,2.45945945945946,2.5,2.4031007751938
Boris Katchouk,0.891089108910891,1,0.94,1.33333333333333
Taylor Raddysh,1.48571428571429,2,1.54285714285714,1.33333333333333
Nikita Zaitsev,0.666666666666667,1.02552204176334,1.02325581395349,1.14864864864865
MacKenzie Entwistle,0.684684684684685,0.5,0.647058823529412,0.728813559322034
Ian Mitchell,0.635135135135135,0,0.416666666666667,0.676470588235294
Cole Guttman,1.85714285714286,2.4,'NULL',1.5
Philipp Kurashev,0,1.41935483870968,1.57731958762887,1.16666666666667
Lukas Reichel,1.52380952380952,'NULL',1.5,1.6875
Mike Hardman,0.586206896551724,0.666666666666667,'NULL',
Zach Werenski,2.61057692307692,3.22222222222222,2.67298578199052,2.32051282051282
Jake Bean,1.296,2.5,1.14492753623188,1.52
Justin Danforth,1.6078431372549,1.61538461538462,1,1.54166666666667
Michael Hutchinson,20.8148148148148,29,22.8709677419355,23.6142857142857
Erik Gudbranson,0.941176470588235,1.33900709219858,1.41142857142857,1.40909090909091
Johnny Gaudreau,2.58715596330275,2.6781954887218,2.51612903225806,2.69642857142857
Sean Kuraly,1.64778325123153,1.65957446808511,1.67156862745098,1.375
Boone Jenner,2.48522550544323,2.26666666666667,2.58841463414634,2.13888888888889
Elvis Merzlikins,27.5,27.7391304347826,27.5637583892617,27.5616438356164
Jack Roslovic,1.46091644204852,1.56914893617021,1.54545454545455,1.375
Lane Pederson,0.951612903225806,1.6,0.833333333333333,1.125
Patrik Laine,3.01724137931034,2.90371991247265,2.72727272727273,2.7625
Andrew Peeke,0.949438202247191,1.33333333333333,1.04494382022472,1
Mathieu Olivier,0.962962962962963,1,1.01851851851852,0.842105263157895
Gavin Bayreuther,0.5,1.18095238095238,0.333333333333333,1.07843137254902
Daniil Tarasov,'NULL',1,0.666666666666667,
Emil Bemstrom,1.61935483870968,1.78571428571429,1.46428571428571,1
Eric Robinson,0.972222222222222,1.44081632653061,1.83333333333333,1.38709677419355
Liam Foudy,'NULL',1.18055555555556,1.6,1.25
Adam Boqvist,1.16216216216216,1.2125,1,1.125
Kirill Marchenko,0,1.95238095238095,2,1.5
Tim Berni,0,1.04761904761905,0.736842105263158,0.75
Kent Johnson,0,1.32394366197183,1.23684210526316,1.25
Cole Sillinger,1.68840579710145,2,1.79166666666667,1.33333333333333
Nick Blankenburg,0.75,1.47222222222222,1.31578947368421,1
Brendan Gallagher,3.5,3.09653092006033,3.16814159292035,3.06948640483384
Sean Monahan,2.14285714285714,2.30543318649046,2.38888888888889,2.18803418803419
Jake Evans,0.257294429708223,'No Data',0.227722772277228,0.219839142091153
Cole Caufield,3.4,3.11290322580645,2.93333333333333,3.05691056910569
Arber Xhekaj,1.47058823529412,2,'No Data',1.52
Juraj Slafkovsky,0,1.07692307692308,0.652173913043478,'No Data'
Jake Allen,26.54,25.2474489795918,26.1111111111111,26.7424242424242
Mike Hoffman,0,1,'No Data',
Chris Wideman,0.75,1.29537366548043,1.28682170542636,1.10416666666667
David Savard,1.40302613480055,1.60629921259843,1.46666666666667,1.36211699164345
Alex Belzile,1.23529411764706,'No Data',1.14285714285714,1.1875
Joel Edmundson,1.43722943722944,1.34666666666667,1.71428571428571,1.45258620689655
Joel Armia,1.88452655889146,1.84146341463415,1.76851851851852,1.26666666666667
Mike Matheson,1.97333333333333,2.14117647058824,2.02777777777778,1.25
Chris Tierney,1.20926243567753,1.25490196078431,1.17073170731707,1.23529411764706
Josh Anderson,2.42394014962594,2.45945945945946,2.96875,2.4031007751938
Jonathan Drouin,1.87473460721868,2.05555555555556,1.81526104417671,1.54320987654321
Christian Dvorak,1.58293838862559,1.4811320754717,1.2,1.77922077922078
Anthony Richard,0.916666666666667,'No Data',1.16666666666667,1
Sam Montembeault,26.6630434782609,18.5,28.6666666666667,22.9047619047619
Denis Gurianov,1.97358490566038,2.6,2.19512195121951,1.82170542635659
Rem Pitlick,0.910714285714286,'No Data',1.11111111111111,1
Michael Pezzetta,0.764705882352941,1.01010101010101,1,
Nick Suzuki,1.94852941176471,2.03623188405797,2.75,2.26315789473684
Johnathan Kovacevic,1.14285714285714,1.15151515151515,1.42424242424242,1
Jordan Harris,0.25,1.02857142857143,2.5,0.914285714285714
Jesse Ylonen,0.9,1.14634146341463,4,0.761904761904762
Rafael Harvey-Pinard,1.66666666666667,2.42857142857143,'No Data',1.41666666666667
