Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Home
Zach Werenski, 2.610576923076923, 3.2222222222222223, 2.6729857819905214, 2.3205128205128207
Jake Bean, 1.296, 2.5, 1.144927536231884, 1.52
Justin Danforth, 1.607843137254902, 1.6153846153846154, 1.0, 1.5416666666666667
Michael Hutchinson, 20.814814814814813, 29.0, 22.870967741935484, 23.614285714285714
Erik Gudbranson, 0.9411764705882353, 1.3390070921985815, 1.4114285714285715, 1.4090909090909092
Johnny Gaudreau, 2.5871559633027523, 2.6781954887218045, 2.5161290322580645, 2.6964285714285716
Sean Kuraly, 1.6477832512315271, 1.6595744680851063, 1.6715686274509804, 1.375
Boone Jenner, 2.4852255054432346, 2.2666666666666666, 2.5884146341463414, 2.138888888888889
Elvis Merzlikins, 27.5, 27.73913043478261, 27.563758389261746, 27.561643835616437
Jack Roslovic, 1.4609164420485174, 1.5691489361702127, 1.5454545454545454, 1.375
Lane Pederson, 0.9516129032258065, 1.6, 0.8333333333333334, 1.125
Patrik Laine, 3.0172413793103448, 2.903719912472648, 2.727272727272727, 2.7625
Andrew Peeke, 0.949438202247191, 1.3333333333333333, 1.0449438202247192, 1.0
Mathieu Olivier, 0.9629629629629629, 1.0, 1.0185185185185186, 0.8421052631578947
Gavin Bayreuther, 0.5, 1.180952380952381, 0.3333333333333333, 1.0784313725490196
Daniil Tarasov, 'NULL', 1.0, 0.6666666666666666
Emil Bemstrom, 1.6193548387096774, 1.7857142857142858, 1.4642857142857142, 1.0
Eric Robinson, 0.9722222222222222, 1.4408163265306122, 1.8333333333333333, 1.3870967741935485
Liam Foudy, 'NULL', 1.1805555555555556, 1.6, 1.25
Adam Boqvist, 1.162162162162162, 1.2125, 1.0, 1.125
Kirill Marchenko, 0.0, 1.9523809523809523, 2.0, 1.5
Tim Berni, 0.0, 1.0476190476190477, 0.7368421052631579, 0.75
Kent Johnson, 0.0, 1.323943661971831, 1.236842105263158, 1.25
Cole Sillinger, 1.6884057971014492, 2.0, 1.7916666666666667, 1.3333333333333333
Nick Blankenburg, 0.75, 1.4722222222222223, 1.3157894736842106, 1.0
