Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Home
Jakub Voracek, 2.6351606805293004, 1.9642857142857142, 2.3790170132325144, 2.340659340659341
Zack Kassian, 1.2112462006079028, 1.2106824925816024, 1.027027027027027, 1.125
Patrik Nemeth, 0.9694501018329938, 1.2857142857142858, 0.9326923076923077, 1.0916666666666666
Travis Boyd, 0.9283018867924528, 0.6923076923076923, 0.6222222222222222, 0.9621212121212122
Brett Ritchie, 1.6216931216931216, 1.5714285714285714, 1.8888888888888888, 1.25
Liam O'Brien, 0.7798165137614679, 0.8, 0.8666666666666667, 1.0
Josh Brown, 0.8, 0.25, 0.7983193277310925, 1.0263157894736843
Laurent Dauphin, 1.25, 1.4473684210526316, 1.0454545454545454, 1.0
Nick Schmaltz, 1.6183574879227054, 1.6470588235294117, 1.8235294117647058, 1.5625
Christian Fischer, 1.5404699738903394, 1.4666666666666666, 1.4583333333333333, 1.6428571428571428
Lawson Crouse, 0.9375, 1.6200980392156863, 1.7681159420289856, 1.7079207920792079
Karel Vejmelka, 34.07692307692308, 29.71875, 30.4, 30.106382978723403
Connor Ingram, 0, 32.8, 37.666666666666664, 31.59259259259259
Clayton Keller, 1.6875, 2.489461358313817, 2.191780821917808, 2.6826923076923075
Juuso Valimaki, 0.0, 1.2275862068965517, 1.2, 1.265625
Barrett Hayton, 1.639751552795031, 1.6125, 1.7391304347826086, 1.1666666666666667
Jack McBain, 0.1111111111111111, 0.16666666666666666, 'NULL'
Ivan Prosvetov, 24.571428571428573, 0, 39.0, 31.0
Victor Soderstrom, 1.0285714285714285, 1.8571428571428572, 1.0, 1.1666666666666667
Matias Maccelli, 0.8333333333333334, 1.0, 0.5714285714285714, 0.8387096774193549
Connor Mackey, 0.7916666666666666, 0.6, 0.7857142857142857, 'NULL'
