Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at HomeRoad
Mark Stone, 'NULL', 2.160958904109589, 2.0, 2.048780487804878
Laurent Brossoit, 24.275229357798164, 26.0, 19.181818181818183, 'NULL'
Nolan Patrick, 'NULL', 1.4639639639639639, 1.3846153846153846
Logan Thompson, 0, 25.4, 27.160714285714285, 'NULL'
Jonathan Quick, 24.50402144772118, 27.944444444444443, 'NULL', 23.506666666666668
Phil Kessel, 3.019230769230769, 2.982905982905983, 3.009441384736428, 'NULL'
Alec Martinez, 'NULL', 1.439252336448598, 1.5714285714285714, 1.375
Alex Pietrangelo, 'NULL', 2.44076840981857, 2.7777777777777777, 2.6
Brayden McNabb, 'NULL', 1.0715396578538103, 1.1505376344086022, 1.1111111111111112
Reilly Smith, 'NULL', 1.8, 2.1314741035856573, 1.96
William Karlsson, 'NULL', 1.8433333333333333, 2.0555555555555554, 1.9065420560747663
Chandler Stephenson, 0.25, 0.0, 'NULL'
Teddy Blueger, 'NULL', 1.34765625, 1.148936170212766, 1.5625
Ben Hutton, 1.643835616438356, 1.6122004357298474, 1.9, 'NULL'
Shea Theodore, 'NULL', 2.579185520361991, 3.4444444444444446, 2.688311688311688
William Carrier, 1.6744186046511629, 1.5748663101604279, 1.5, 'NULL'
Ivan Barbashev, 0.9090909090909091, 1.1004784688995215, 1.5, 'NULL'
Michael Amadio, 0.6, 1.1808510638297873, 0.8780487804878049, 'NULL'
Jack Eichel, 3.654320987654321, 3.5550755939524836, 4.0, 'NULL'
Keegan Kolesar, 0.0, 1.053763440860215, 0.972972972972973, 'NULL'
Nicolas Roy, 0.75, 1.4608294930875576, 1.4285714285714286, 'NULL'
Adin Hill, 24.26732673267327, 28.333333333333332, 22.0, 'NULL'
Brett Howden, 0.9283018867924528, 0.6923076923076923, 0.6818181818181818, 'NULL'
Nicolas Hague, 'NULL', 1.5913461538461537, 1.9696969696969697, 1.75
Jiri Patera, 0, 30.0, 'NULL'
Zach Whitecloud, 0.9523809523809523, 1.1618497109826589, 1.3333333333333333, 'NULL'
Paul Cotter, 0.8571428571428571, 1.4, 2.0, 'NULL'
Pavel Dorofeyev, 'NULL', 1.6666666666666667, 4.0
