Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Home
Max Pacioretty, 3.107142857142857, 3.3719298245614033, 3.534278959810875, 3.5925925925925926
Ondrej Kase, 1.7, 2.2635658914728682, 2.142857142857143, 2.302325581395349
Brent Burns, 2.762917933130699, 3.6666666666666665, 2.8403614457831323, 2.575
Paul Stastny, 1.9565217391304348, 2.040492957746479, 2.0, 2.0298245614035086
Jordan Staal, 2.0302768166089966, 2.5384615384615383, 2.0294117647058822, 2.054421768707483
Derek Stepan, 1.7272727272727273, 2.2697142857142856, 2.221476510067114, 2.3587962962962963
Calvin de Haan, 1.3734729493891797, 1.2365591397849462, 1.0714285714285714, 1.4482758620689655
Jesper Fast, 0.5384615384615384, 1.0293637846655792, 1.0921052631578947, 0.9615384615384616
Frederik Andersen, 26.930041152263374, 25.04, 26.895522388059703, 26.352941176470587
Stefan Noesen, 1.620817843866171, 1.6603773584905661, 1.0, 1.7007299270072993
Brady Skjei, 1.9768339768339769, 1.916015625, 1.6, 1.9425287356321839
Teuvo Teravainen, 2.415807560137457, 2.2596153846153846, 2.206540447504303, 2.0588235294117645
Shayne Gostisbehere, 2.27027027027027, 1.6666666666666667, 2.2821497120921306, 2.5434782608695654
Jordan Martinook, 1.470479704797048, 1.5547169811320756, 1.3195876288659794, 1.5714285714285714
Jaccob Slavin, 1.763668430335097, 2.0, 1.7321428571428572, 1.7692307692307692
Antti Raanta, 24.775100401606426, 17.285714285714285, 26.75, 25.475806451612904
Brett Pesce, 1.55, 1.5957446808510638, 1.6545454545454545, 1.0
Sebastian Aho, 2.6777777777777776, 2.8111332007952288, 2.727272727272727, 2.7848605577689245
Jalen Chatfield, 0.3333333333333333, 1.21875, 1.0638297872340425, 1.9166666666666667
Jesse Puljujarvi, 1.8746081504702194, 2.8333333333333335, 1.975, 1.9375
Dylan Coghlan, 1.6057692307692308, 1.5098039215686274, 4.666666666666667, 1.8461538461538463
Martin Necas, 2.1951219512195124, 2.111940298507463, 2.3333333333333335, 2.1578947368421053
Jesperi Kotkaniemi, 1.4867549668874172, 1.5333333333333334, 1.3076923076923077, 1.4025157232704402
Andrei Svechnikov, 2.9069767441860463, 2.804034582132565, 3.7142857142857144, 2.5714285714285716
Jack Drury, 1.6521739130434783, 2.1, 1.0, 'NULL'
Pyotr Kochetkov, 19.5, 19.0, 22.833333333333332, 22.666666666666668
Seth Jarvis, 1.9172932330827068, 2.6666666666666665, 1.9253731343283582, 1.5263157894736843
