Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Road
Oliver Wahlstrom, 2.049689440993789, 2.0, 2.1686746987951806, 2.032258064516129
Zach Parise, 3.013452914798206, 2.9, 3.0578512396694215, 3.051839464882943
Cal Clutterbuck, 1.6363636363636365, 2.032258064516129, 1.6368715083798884, 1.5
Semyon Varlamov, 1.5714285714285714, 2.0, 1.6764705882352942
Josh Bailey, 1.5099715099715099, 1.4378585086042066, 1.3, 1.6363636363636365
Matt Martin, 0.6973684210526315, 1.0, 0.85, 0.6875
Kyle Palmieri, 2.4861878453038675, 2.3947368421052633, 2.2, 2.524137931034483
Casey Cizikas, 1.2202462380300958, 1.185595567867036, 1.1666666666666667, 1.2941176470588236
Anders Lee, 2.5120481927710845, 2.8666666666666667, 2.403361344537815, 2.3373493975903616
Brock Nelson, 2.0510752688172045, 2.1989247311827955, 2.0, 2.1496062992125986
Jean-Gabriel Pageau, 1.815112540192926, 1.729641693811075, 1.945945945945946, 1.6153846153846154
Scott Mayfield, 1.3647342995169083, 1.2833333333333334, 1.3349514563106797, 1.2
Adam Pelech, 1.3177570093457944, 1.2744186046511627, 1.425, 1.1
Hudson Fasching, 0.9315068493150684, 1.0, 0.717948717948718, 1.125
Bo Horvat, 1.9642857142857142, 2.328100470957614, 2.3125, 2.261006289308176
Ryan Pulock, 0.8571428571428571, 2.132850241545894, 2.5125, 2.0704225352112675
Ilya Sorokin, 25.0, 26.666666666666668, 27.70731707317073, 28.285714285714285
Pierre Engvall, 1.6428571428571428, 1.7, 2.6, 1.5833333333333333
Mathew Barzal, 1.625, 2.2714285714285714, 2.0806451612903225, 2.1770334928229667
Parker Wotherspoon, 0.8333333333333334, 'NULL', 0.5
Otto Koivula, 0.6071428571428571, 0.0, 0.5
Sebastian Aho, 2.6777777777777776, 2.8111332007952288, 2.5454545454545454, 2.8373015873015874
Noah Dobson, 1.8623853211009174, 2.107142857142857, 2.0, 2.193548387096774
Alexander Romanov, 0.3333333333333333, 1.34, 1.3838383838383839, 1.6129032258064515
Simon Holmstrom, 0.675, 1.0, 0.47058823529411764, 0.5
