Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Home
Alexander Edler, 1.8, 2.079333986287953, 2.272727272727273, 2.0647058823529414
Anze Kopitar, 2.2850678733031673, 2.4025058731401723, 2.0, 2.449843260188088
Drew Doughty, 1.7391304347826086, 2.109259259259259, 2.0260416666666665, 2.0947955390334574
Phillip Danault, 1.7899628252788105, 1.8208955223880596, 1.9761904761904763, 1.6153846153846154
Joonas Korpisalo, 24.81578947368421, 25.6, 26.141509433962263, 28.818181818181817
Pheonix Copley, 24.016393442622952, 24.2, 21.0, 24.59259259259259
Kevin Fiala, 1.5454545454545454, 2.6556701030927834, 2.6144578313253013, 2.830578512396694
Adrian Kempe, 2.1706783369803064, 2.2222222222222223, 2.1615720524017465, 2.036144578313253
Viktor Arvidsson, 3.142857142857143, 2.9551656920077973, 2.3636363636363638, 2.9578544061302683
Vladislav Gavrikov, 1.1647509578544062, 2.5, 1.0810810810810811, 1.0444444444444445
Matt Roy, 0.8939393939393939, 1.0, 0.6896551724137931, 1.6666666666666667
Carl Grundstrom, 0.5, 1.4795321637426901, 1.5116279069767442, 1.4047619047619047
Trevor Moore, 1.5, 2.0201612903225805, 2.0, 1.9318181818181819
Zack MacEwen, 1.188235294117647, 1.106145251396648, 1.5714285714285714, 1.15625
Jaret Anderson-Dolan, 0.5, 1.10752688172043, 1.0, 0.9772727272727273
Mikey Anderson, 1.4678055190538766, 1.5275590551181102, 1.131578947368421, 1.3511450381679388
Gabriel Vilardi, 1.6164383561643836, 4.0, 1.881578947368421, 1.5294117647058822
Alex Iafallo, 1.6666666666666667, 2.091358024691358, 2.07, 1.7878787878787878
Sean Walker, 1.7045454545454546, 2.0, 1.7843137254901962, 1.59375
Sean Durzi, 1.8666666666666667, 1.7222222222222223, 2.0, 1.8421052631578947
Rasmus Kupari, 0.8260869565217391, 0.0, 1.1111111111111112, 0.8852459016393442
Blake Lizotte, 1.0810810810810811, 1.2581967213114753, 1.1935483870967742, 1.8
Arthur Kaliyev, 1.3333333333333333, 2.304, 2.7222222222222223, 2.306451612903226
Jordan Spence, 1.6071428571428572, 1.5333333333333334, 'NULL', 1.4615384615384615
Quinton Byfield, 0.9523809523809523, 1.1547619047619047, 1.3333333333333333, 1.25
