Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Home
Mark Borowiecki, 0.8013100436681223, 0.8076923076923077, 0.8686440677966102, 0.7538461538461538
Filip Forsberg, 3.3333333333333335, 2.769230769230769, 3.0162337662337664, 3.1548387096774193
Ryan McDonagh, 1.5809523809523809, 1.729559748427673, 1.8, 1.5144230769230769
Roman Josi, 2.8776978417266186, 2.9308252427184467, 2.6, 2.949760765550239
Matt Duchene, 2.6122448979591835, 2.458677685950413, 2.6486486486486487, 2.432926829268293
Tyson Barrie, 2.2977099236641223, 2.2066666666666666, 2.3157894736842106, 2.3104395604395602
Ryan Johansen, 1.8978622327790975, 1.8865248226950355, 1.7019867549668874, 1.8181818181818181
Kevin Gravel, 1.0731707317073171, 1.8333333333333333, 1.1578947368421053, 1.0
Mark Jankowski, 0.625, 1.118421052631579, 1.1398601398601398, 1.2941176470588236
Colton Sissons, 0.75, 1.1021194605009634, 1.0689655172413792, 1.2095238095238094
Juuse Saros, 24.666666666666668, 27.514705882352942, 28.00738007380074, 28.58139534883721
Jeremy Lauzon, 1.100502512562814, 1.16, 1.1666666666666667, 1.0104166666666667
Yakov Trenin, 1.6341463414634145, 1.9189189189189189, 1.875, 1.4725274725274726
Alexandre Carrier, 1.2430555555555556, 1.1594202898550725, 1.6071428571428572, 1.0
Rasmus Asplund, 1.4226190476190477, 1.451219512195122, 1.6, 1.0476190476190477
Dante Fabbro, 1.3787234042553191, 1.56198347107438, 1.0909090909090908, 1.25
Cal Foote, 0.959349593495935, 0.9, 0.9272727272727272, 1.2592592592592593
Cody Glass, 0.5, 1.3984375, 1.4782608695652173, 1.3333333333333333
Kiefer Sherwood, 0.5, 1.2673267326732673, 1.08, 1.8421052631578947
Kevin Lankinen, 29.833333333333332, 29.775, 28.61904761904762, 29.666666666666668
Philip Tomasino, 1.7209302325581395, 1.5280898876404494, 1.3157894736842106, 1.5
Egor Afanasyev, 'NULL', 1.5
Juuso Parssinen, 'NULL', 1.119047619047619, 3.0, 1.0869565217391304
Cole Smith, 'NULL', 1.0
Luke Evangelista, 2.0, 'NULL', 2.3333333333333335, 2.4
