Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Road
Michael Rasmussen, 1.4789915966386555, 1.3243243243243243, 1.435897435897436, 1.1111111111111112
David Perron, 1.9464285714285714, 2.1462945139557266, 2.1147540983606556, 2.1315280464216633
Alex Chiasson, 1.4361370716510904, 1.4166666666666667, 1.3391304347826087, 1.6956521739130435
Ben Chiarot, 0.9090909090909091, 1.4108108108108108, 1.3876811594202898, 1.375
Magnus Hellberg, 0, 33.5, 21.166666666666668, 24.833333333333332
Olli Maatta, 1.308724832214765, 2.0, 1.2326388888888888, 1.2784810126582278
Dominik Kubalik, 1.894736842105263, 2.310861423220974, 2.6470588235294117, 2.3138686131386863
Andrew Copp, 0.92, 1.4972677595628416, 1.4132841328413284, 1.306930693069307
Adam Erne, 1.2448979591836735, 1.352112676056338, 1.1728395061728396, 1.25
Robert Hagg, 0.8627450980392157, 1.030674846625767, 0.9447852760736196, 1.2
Jordan Oesterle, 1.2, 1.2455621301775148, 1.2647058823529411, 1.1111111111111112
Dylan Larkin, 3.032967032967033, 2.968365553602812, 3.5, 2.9709090909090907
Robby Fabbri, 1.825, 1.7424242424242424, 1.6993464052287581, 1.736842105263158
Jake Walman, 1.983739837398374, 2.130434782608696, 1.835820895522388, 1.0
Ville Husso, 26.875, 26.923809523809524, 26.894736842105264, 29.666666666666668
Austin Czarnik, 0.9047619047619048, 1.1346153846153846, 1.0384615384615385, 1.75
Matt Luff, 1.2659574468085106, 1.3958333333333333, 1.5454545454545454, 1.0
Gustav Lindstrom, 0.6166666666666667, 0.0, 0.2857142857142857, 0.6140350877192983
Pius Suter, 1.79, 2.0, 1.6666666666666667, 1.5294117647058822
Joe Veleno, 0.6666666666666666, 1.1102941176470589, 1.1666666666666667, 1.25
Filip Zadina, 1.9, 2.016216216216216, 2.282051282051282, 2.0454545454545454
Moritz Seider, 1.6666666666666667, 2.0, 2.25, 1.837837837837838
Lucas Raymond, 2.5, 1.8115942028985508, 2.0714285714285716, 2.0
