Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Road
Anton Forsberg, 26.850746268656717, 26.607692307692307, 27.181818181818183, 30.75
Josh Norris, 1.2, 2.1954887218045114, 2.111111111111111, 2.074626865671642
Claude Giroux, 2.5931734317343174, 2.6842105263157894, 2.4888475836431225, 2.6517412935323383
Derick Brassard, 1.9193227091633467, 2.1333333333333333, 1.8081632653061224, 1.8707865168539326
Nick Holden, 1.1850699844479005, 1.1222570532915361, 1.2254901960784315, 1.0952380952380953
Travis Hamonic, 1.7908163265306123, 1.7172236503856042, 1.875, 1.8152866242038217
Cam Talbot, 27.205741626794257, 26.794392523364486, 27.9875, 28.0
Austin Watson, 1.170124481327801, 1.1791044776119404, 1.0869565217391304, 1.0588235294117647
Thomas Chabot, 2.4518716577540105, 2.4375, 2.23728813559322, 2.1914893617021276
Mathieu Joseph, 0.8333333333333334, 1.1756272401433692, 1.2014388489208634, 1.4
Julien Gauthier, 1.1448275862068966, 1.1857142857142857, 1.2142857142857142, 1.25
Alex DeBrincat, 2.753623188405797, 2.8755760368663594, 3.230769230769231, 2.811926605504587
Jakob Chychrun, 2.463157894736842, 2.372031662269129, 2.0, 2.289855072463768
Dylan Gambrell, 0.8538812785388128, 0.8333333333333334, 0.8407079646017699, 0.9772727272727273
Erik Brannstrom, 1.2816091954022988, 2.0, 1.6, 1.1931818181818181
Drake Batherson, 1.3333333333333333, 2.213270142180095, 2.4285714285714284, 2.0594059405940595
Mark Kastelic, 0.875, 1.0294117647058822, 1.1666666666666667, 1.0
Parker Kelly, 1.1111111111111112, 1.1134020618556701, 3.0, 1.4
Brady Tkachuk, 3.8, 3.6315789473684212, 3.641399416909621, 3.7547169811320753
Kevin Mandolese, 0, 34.0, 36.333333333333336
Mads Sogaard, 25.4, 3.0, 23.333333333333332, 23.545454545454547
Shane Pinto, 0.0, 1.6385542168674698, 2.1666666666666665, 1.5365853658536586
Jake Sanderson, 1.7741935483870968, 1.5737704918032787, 1.3333333333333333, 1.0
Artem Zub, 0.9696969696969697, 0.6666666666666666, 0.9117647058823529, 0.975609756097561
