Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Home
Markus Nutivaara, 1.221818181818182, 1.2093023255813953, 1.3381294964028776, 1.8333333333333333
Luke Kunin, 1.7801418439716312, 1.8150684931506849, 1.8055555555555556, 1.4166666666666667
Jonah Gadjovich, 0.8607594936708861, 1.0, 0.925, 1.2
Marc-Edouard Vlasic, 1.2930232558139534, 1.3048084759576202, 1.2524590163934426, 1.6666666666666667
James Reimer, 26.36263736263736, 26.710920770877944, 26.733333333333334, 26.82511210762332
Logan Couture, 2.745614035087719, 2.32, 2.7134831460674156, 2.79295154185022
Erik Karlsson, 2.8011049723756907, 3.608695652173913, 2.9246119733924614, 2.98
Tomas Hertl, 2.278890600924499, 2.0, 2.3492063492063493, 2.336448598130841
Derrick Pouliot, 1.1018518518518519, 1.3043478260869565, 1.074766355140187, 1.8571428571428572
Matt Benning, 0.8823529411764706, 1.0765661252900232, 1.0714285714285714, 1.1157407407407407
Andreas Johnsson, 1.6470588235294117, 1.5535714285714286, 1.7786259541984732, 1.4285714285714286
Kaapo Kahkonen, 24.0, 24.11111111111111, 26.673684210526314, 27.333333333333332
Oskar Lindblom, 1.5884146341463414, 1.6307692307692307, 1.622754491017964, 1.1666666666666667
Kevin Labanc, 1.908872901678657, 2.2857142857142856, 2.0, 1.9471153846153846
Evgeny Svechnikov, 0.6666666666666666, 1.1280487804878048, 0.9285714285714286, 0.9759036144578314
Steven Lorentz, 0.8, 1.1412429378531073, 1.1123595505617978, 1.1290322580645162
Noah Gregor, 1.6818181818181819, 2.049079754601227, 2.074074074074074, 4.0
Jacob MacDonald, 0.75, 'NULL'
Mario Ferraro, 0.9535864978902954, 0.8, 0.9915966386554622, 1.28
Radim Simek, 0.8492462311557789, 1.5, 0.9484536082474226, 1.15625
Fabian Zetterlund, 1.9696969696969697, 3.5, 1.8333333333333333, 1.78125
Nico Sturm, 0.0, 1.4136125654450262, 1.351063829787234, 1.2571428571428571
Nikolai Knyzhov, 0.873015873015873, 0.625, 'NULL', 0.9354838709677419
Alexander Barabanov, 0.5, 1.5454545454545454, 1.4805194805194806, 1.619047619047619
William Eklund, 1.8571428571428572, 1.2142857142857142, 'NULL', 1.8
