Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Road
Ryan Suter, 1.678714859437751, 1.6674090571640683, 1.6596701649175412, 1.8070175438596492
Joe Pavelski, 2.676470588235294, 2.8210526315789473, 2.9152542372881354, 2.8666666666666667
Jamie Benn, 2.438976377952756, 2.6660098522167486, 2.7222222222222223, 2.881720430107527
Evgenii Dadonov, 1.9102564102564104, 2.099787685774947, 2.409090909090909, 2.0258620689655173
Tyler Seguin, 3.391891891891892, 3.3550561797752807, 4.0, 3.1677852348993287
Scott Wedgewood, 33.666666666666664, 10.0, 27.978947368421053, 29.102040816326532
Jani Hakanp‰‰, 0.9282296650717703, 0.75, 0.8217821782178217, 1.119047619047619
Colin Miller, 1.7373134328358208, 1.6, 1.6470588235294117, 1.6363636363636365
Luke Glendening, 1.254335260115607, 1.1849710982658959, 1.228813559322034, 1.6470588235294117
Radek Faksa, 1.4527272727272726, 1.364963503649635, 1.4375, 1.7040816326530612
Esa Lindell, 1.5952380952380953, 1.5798816568047338, 2.4615384615384617, 1.4880952380952381
Max Domi, 1.9191919191919191, 2.0406360424028267, 2.0, 1.9148936170212767
Joel Hanley, 0.6041666666666666, 0.6666666666666666, 0.6756756756756757, 0.647887323943662
Fredrik Olofsson, 0.0, 1.2272727272727273, 1.4615384615384615, 1.2
Roope Hintz, 2.2905405405405403, 2.2751677852348995, 2.2857142857142856, 2.4313725490196076
Mason Marchment, 1.0, 2.037974683544304, 2.189189189189189, 2.2125
Jake Oettinger, 25.2734375, 26.517857142857142, 19.333333333333332, 25.185185185185187
Jason Robertson, 3.236842105263158, 2.96875, 2.75, 3.158974358974359
Miro Heiskanen, 2.6956521739130435, 2.3569321533923304, 3.0, 2.2634730538922154
Ty Dellandrea, 0.0, 1.1170212765957446, 0.8863636363636364, 1.4375
Nils Lundkvist, 0.75, 1.5121951219512195, 2.0, 1.5
Joel Kiviranta, 1.1904761904761905, 1.1946308724832215, 1.1585365853658536, 1.5
Wyatt Johnston, 1.8955223880597014, 2.0, 2.142857142857143, 1.7575757575757576
Matt Murray, 1.1724137931034482, 1.282442748091603, 1.0, 1.5
