Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Home
Jonathan Toews, 2.5349056603773583, 2.75, 2.554913294797688, 2.6385767790262173
Reese Johnson, 0.7840909090909091, 0.0, 0.6976744186046512, 1.0
Alex Stalock, 24.8, 23.923076923076923, 22.6, 23.78698224852071
Tyler Johnson, 1.8888888888888888, 2.048854961832061, 2.111111111111111, 2.0030487804878048
Jarred Tinordi, 0.7013888888888888, 0.4, 0.746268656716418, 0.7105263157894737
Petr Mrazek, 24.93220338983051, 25.152905198776757, 21.636363636363637, 24.254777070063696
Colin Blackwell, 1.2527472527472527, 1.2041884816753927, 1.4615384615384615, 1.25
Connor Murphy, 0.75, 1.4175824175824177, 2.0, 1.5660377358490567
Jujhar Khaira, 0.96, 1.049689440993789, 1.1358024691358024, 1.125
Andreas Athanasiou, 1.6, 2.1918735891647856, 2.168539325842697, 2.105022831050228
Buddy Robinson, 1.1428571428571428, 1.0925925925925926, 1.0909090909090908, 1.5
Jason Dickinson, 0.8888888888888888, 1.2231884057971014, 1.2784090909090908, 1.2542372881355932
Seth Jones, 1.9473684210526316, 2.197478991596639, 2.0588235294117645, 2.3739612188365653
Andreas Englund, 0.5540540540540541, 0.0, 0.375, 0.5135135135135135
Anders Bjork, 0.9814814814814815, 0.6, 1.0810810810810811, 1.1176470588235294
Caleb Jones, 0.3333333333333333, 1.0248756218905473, 1.0396039603960396, 0.8064516129032258
Austin Wagner, 0.3333333333333333, 1.5087719298245614, 1.3563218390804597, 1.32
Joey Anderson, 2.4939467312348667, 2.4594594594594597, 2.5, 2.4031007751937983
Boris Katchouk, 0.8910891089108911, 1.0, 0.94, 1.3333333333333333
Taylor Raddysh, 1.4857142857142858, 2.0, 1.542857142857143, 1.3333333333333333
Nikita Zaitsev, 0.6666666666666666, 1.025522041763341, 1.0232558139534884, 1.1486486486486487
MacKenzie Entwistle, 0.6846846846846847, 0.5, 0.6470588235294118, 0.7288135593220338
Ian Mitchell, 0.6351351351351351, 0.0, 0.4166666666666667, 0.6764705882352942
Cole Guttman, 1.8571428571428572, 2.4, 'NULL', 1.5
Philipp Kurashev, 0.0, 1.4193548387096775, 1.577319587628866, 1.1666666666666667
Lukas Reichel, 1.5238095238095237, 'NULL', 1.5, 1.6875
Mike Hardman, 0.5862068965517241, 0.6666666666666666, 'NULL'
