Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Road
Carl Hagelin, 1.5555555555555556, 2.0042075736325384, 2.2, 1.9686609686609686
John Carlson, 2.3489640130861504, 2.617021276595745, 2.1301775147928996, 2.364425162689805
Alex Ovechkin, 4.757800891530461, 4.729790419161676, 4.714285714285714, 4.648305084745763
T.J. Oshie, 1.8888888888888888, 2.0569020021074818, 2.1263736263736264, 1.9917184265010353
Nicklas Backstrom, 24.692307692307693, 25.222760290556902, 26.837696335078533, 25.75
Craig Smith, 2.4725536992840094, 2.1481481481481484, 2.471014492753623, 2.5368171021377672
Darcy Kuemper, 24.666666666666668, 26.118840579710145, 26.683333333333334, 26.56353591160221
Nick Jensen, 1.4516129032258065, 2.0, 1.5333333333333334, 1.7272727272727273
Nic Dowd, 1.0353773584905661, 1.0727272727272728, 1.1527777777777777, 1.4
Matt Irwin, 1.5777777777777777, 1.6813186813186813, 1.5045871559633028, 1.3636363636363635
Evgeny Kuznetsov, 2.1538461538461537, 2.1894736842105265, 2.272727272727273, 2.099099099099099
Tom Wilson, 1.5218045112781955, 1.5252225519287834, 1.4406779661016949, 1.3333333333333333
Anthony Mantha, 2.4886363636363638, 2.436893203883495, 2.8333333333333335, 2.419811320754717
Conor Sheary, 1.8294573643410852, 1.7665369649805447, 1.5357142857142858, 1.9157894736842105
Trevor van Riemsdyk, 1.2103250478011471, 1.1666666666666667, 1.3625, 1.3043478260869565
Sonny Milano, 1.302788844621514, 1.278688524590164, 1.3571428571428572, 1.0
Dylan Strome, 1.6555555555555554, 1.7551622418879056, 2.1666666666666665, 1.9803921568627452
Gabriel Carlsson, 0.7564102564102564, 0.5, 0.5454545454545454, 0.9705882352941176
Charlie Lindgren, 0, 25.87272727272727, 26.137931034482758, 29.833333333333332
Martin Fehervary, 0.75, 1.2773722627737227, 1.2463768115942029, 1.4666666666666666
Alexander Alexeyev, 0.6666666666666666, 0.0, 0.8333333333333334, 1.0
Rasmus Sandin, 0.9652777777777778, 1.1666666666666667, 0.8382352941176471, 0.9090909090909091
Joe Snively, 1.7, 2.0, 'NULL', 1.9
