Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Road
Michael Stone, 1.684782608695652, 1.5854545454545454, 1.5035971223021583, 1.0
Trevor Lewis, 1.7563218390804598, 1.7058152793614596, 1.530612244897959, 1.6149425287356323
Milan Lucic, 1.5413793103448277, 1.527027027027027, 1.8285714285714285, 1.5068493150684932
Mikael Backlund, 2.4098544232922734, 2.3333333333333335, 2.521472392638037, 2.376940133037694
Nazem Kadri, 2.611246943765281, 2.699751861042184, 2.892857142857143, 2.7482014388489207
Chris Tanev, 0.8265162200282088, 0.9, 0.7774647887323943, 0.8515625
Tyler Toffoli, 2.713091922005571, 2.7395543175487465, 3.0285714285714285, 2.5833333333333335
Blake Coleman, 1.9069767441860466, 2.403118040089087, 3.0, 2.506726457399103
Jonathan Huberdeau, 2.2857142857142856, 2.0, 2.0497237569060776, 2.5214285714285714
MacKenzie Weegar, 1.6806282722513088, 1.7258064516129032, 1.7887323943661972, 1.5714285714285714
Elias Lindholm, 1.9248120300751879, 2.1675824175824174, 2.619047619047619, 2.0824175824175826
Nikita Zadorov, 1.181159420289855, 1.1992619926199262, 1.411764705882353, 1.3703703703703705
Nick Ritchie, 1.8452380952380953, 1.7243589743589745, 1.7676348547717842, 1.8
Andrew Mangiapane, 1.5178571428571428, 1.853211009174312, 1.8957055214723926, 1.8333333333333333
Noah Hanifin, 1.8233276157804459, 1.83, 1.795221843003413, 1.8333333333333333
Rasmus Andersson, 1.7403314917127073, 2.2, 1.532258064516129, 1.7955801104972375
Dan Vladar, 25.90909090909091, 27.666666666666668, 14.5, 23.807692307692307
Dennis Gilbert, 0.5581395348837209, 0.0, 0.3333333333333333, 0.6451612903225806
Dillon Dube, 1.595505617977528, 1.4338235294117647, 1.875, 1.8108108108108107
Troy Stecher, 1.3670588235294117, 1.5135135135135136, 1.445945945945946, 1.4666666666666666
Adam Ruzicka, 1.3194444444444444, 1.358974358974359, 1.3333333333333333, 1.0
Jakob Pelletier, 1.0, 2.0, 2.3333333333333335, 1.8
Walker Duehr, 1.375, 4.0, 1.0, 1.25
