Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Road
Nick Foligno, 1.7853839037927846, 1.690875232774674, 1.712707182320442, 1.5666666666666667
Taylor Hall, 0.0, 1.2926829268292683, 1.2083333333333333, 1.3333333333333333
Anton Stralman, 1.404051172707889, 1.342612419700214, 1.4037267080745341, 1.2564102564102564
Patrice Bergeron, 3.727272727272727, 3.0, 2.941640378548896, 3.0749414519906324
David Krejci, 1.7915851272015655, 1.8571428571428572, 1.7495069033530573, 1.9473684210526316
Brad Marchand, 0.574468085106383, 0.5, 0.65
Dmitry Orlov, 0.5714285714285714, 1.3760806916426513, 1.3333333333333333, 1.2755905511811023
Charlie Coyle, 1.7493540051679586, 1.7447916666666667, 2.09375, 1.7142857142857142
Derek Forbort, 0.9978213507625272, 1.0833333333333333, 0.9914163090128756, 0.875
Hampus Lindholm, 1.6901840490797546, 1.7328244274809161, 1.5294117647058822, 1.1363636363636365
Matt Grzelcyk, 1.5546448087431695, 1.6296296296296295, 1.5543478260869565, 1.1428571428571428
Linus Ullmark, 24.68, 27.181818181818183, 12.0, 28.28421052631579
Connor Clifton, 0.6666666666666666, 1.152073732718894, 1.1495327102803738, 1.4102564102564104
Tyler Bertuzzi, 1.9838187702265373, 2.888888888888889, 2.18, 2.066666666666667
Garnet Hathaway, 1.0759493670886076, 1.1886363636363637, 1.2387387387387387, 1.4545454545454546
Tomas Nosek, 1.3586387434554974, 1.2777777777777777, 1.7272727272727273, 1.3093922651933703
David Pastrnak, 3.5384615384615383, 3.386206896551724, 3.5095652173913043, 3.5098039215686274
Pavel Zacha, 1.6518847006651884, 1.4745762711864407, 1.6605504587155964, 1.8181818181818181
Jakub Zboril, 0.8260869565217391, 0.6923076923076923, 'NULL', 0.7027027027027027
A.J. Greer, 0.96875, 1.0, 1.0192307692307692, 1.25
Brandon Carlo, 1.4492753623188406, 1.369330453563715, 1.3391304347826087, 1.0
Jake DeBrusk, 1.9583333333333333, 2.380434782608696, 3.7777777777777777, 2.4751381215469612
Charlie McAvoy, 1.652054794520548, 2.8333333333333335, 1.5277777777777777, 1.9433962264150944
Trent Frederic, 1.6176470588235294, 1.419889502762431, 1.425531914893617, 1.5
Jeremy Swayman, 24.063291139240505, 24.181818181818183, 19.5, 25.761904761904763
Jakub Lauko, 0.8333333333333334, 0.5, 2.0, 'NULL'
