Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Home
Ryan Murray, 0.9258426966292135, 1.0, 0.8412698412698413, 1.0482456140350878
Evander Kane, 3.6451612903225805, 3.768321513002364, 3.547732696897375, 4.066225165562914
Mattias Ekholm, 1.6275862068965516, 2.1666666666666665, 1.7674418604651163, 1.728021978021978
Nick Bjugstad, 2.3344594594594597, 2.2354892205638475, 2.68, 2.360655737704918
Zach Hyman, 2.3891213389121337, 2.37782340862423, 2.269230769230769, 2.382978723404255
Jack Campbell, 24.123287671232877, 25.688622754491018, 26.77777777777778, 21.4
Ryan Nugent-Hopkins, 2.3753180661577606, 2.619047619047619, 2.4393939393939394, 2.4158163265306123
Cody Ceci, 1.6428571428571428, 1.4798270893371759, 1.4, 1.4376811594202898
Devin Shore, 0.9333333333333333, 1.1111111111111112, 1.1155778894472361, 1.1265822784810127
Brett Kulak, 1.3566084788029926, 1.5076923076923077, 1.619047619047619, 1.3880597014925373
Darnell Nurse, 2.3676470588235294, 3.05, 2.4044117647058822, 2.1770833333333335
Leon Draisaitl, 2.585858585858586, 2.634028892455859, 2.8095238095238093, 2.64951768488746
Warren Foegele, 1.813664596273292, 1.7005988023952097, 1.875, 1.25
Connor McDavid, 3.857142857142857, 3.204081632653061, 3.4927536231884058, 3.407942238267148
Derek Ryan, 0.8823529411764706, 1.245360824742268, 1.1908713692946058, 1.3111111111111111
Vincent Desharnais, 0.36363636363636365, 0.0, 0.16666666666666666, 0.25
Stuart Skinner, 26.5, 27.962264150943398, 28.884615384615383, 29.0
Kailer Yamamoto, 1.4541484716157205, 2.0833333333333335, 1.547008547008547, 1.8461538461538463
Klim Kostin, 0.9090909090909091, 0.5, 0.6, 0.875
Ryan McLeod, 1.162962962962963, 2.0, 1.380952380952381, 1.296875
Evan Bouchard, 2.289940828402367, 2.3333333333333335, 2.5238095238095237, 2.4047619047619047
Philip Broberg, 0.9016393442622951, 0.0, 1.75, 0.78125
