Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at condition
Nick Bonino, 1.5589307411907656, 1.5, 1.657718120805369, 1.7391304347826086
Dmitry Kulikov, 1.1793103448275861, 1.3235294117647058, 1.314102564102564, 1.248259860788863
Marcus Pettersson, 1.1246537396121883, 2.0, 1.1304347826086956, 1.0874316939890711
Jeff Carter, 3.1124595469255665, 3.6578947368421053, 3.087866108786611, 3.246353322528363
Evgeni Malkin, 3.279047619047619, 3.1627906976744184, 3.255952380952381, 3.3958333333333335
Sidney Crosby, 3.1809685641461343, 3.8444444444444446, 3.330357142857143, 3.310580204778157
Kris Letang, 2.598790322580645, 2.6216216216216215, 2.5939393939393938, 2.717479674796748
Jeff Petry, 1.8362573099415205, 2.2857142857142856, 1.6344827586206896, 1.875586854460094
Brian Dumoulin, 1.174484052532833, 0.9444444444444444, 1.202020202020202, 1.1666666666666667
Jason Zucker, 2.310569105691057, 2.25, 2.451219512195122, 2.3585526315789473
Mikael Granlund, 1.8616010854816825, 1.7647058823529411, 1.5227272727272727, 1.9110512129380053
Bryan Rust, 2.3028455284552845, 2.235294117647059, 2.2195121951219514, 2.4661354581673307
Taylor Fedun, 1.3858267716535433, 3.3333333333333335, 0.9333333333333333, 1.4385964912280702
Josh Archibald, 1.136518771331058, 1.2, 1.0307692307692307, 1.1586206896551725
Rickard Rakell, 2.5470219435736676, 2.0625, 2.6147540983606556, 2.7147335423197494
Chad Ruhwedel, 1.1782178217821782, 1.1818181818181819, 1.2881355932203389, 1.1849315068493151
Jake Guentzel, 2.7704545454545455, 3.25, 2.7439024390243905, 2.7972972972972974
Tristan Jarry, 26.548223350253807, 35.666666666666664, 25.514285714285716, 27.533333333333335
Mark Friedman, 1.0925925925925926, 2.0, 1.0, 1.0
Danton Heinen, 1.6325, 1.75, 1.5454545454545454, 1.4975124378109452
Casey DeSmith, 26.307692307692307, 27.142857142857142, 21.82608695652174, 27.131147540983605
Alex Nylander, 1.3777777777777778, 0.6666666666666666, 1.5454545454545454, 1.391304347826087
Pierre-Olivier Joseph, 1.5365853658536586, 2.0, 1.8333333333333333, 1.394736842105263
Ryan Poehling, 1.328, 1.0, 1.0, 1.3728813559322033
Drew O'Connor, 1.462686567164179, 0.6666666666666666, 1.3, 1.4285714285714286
Michael Rasmussen, 1.4789915966386555, 1.0714285714285714, 1.3243243243243243, 1.5206611570247934
David Perron, 2.1440922190201728, 2.3333333333333335, 2.1027027027027025, 2.158699808795411
Alex Chiasson, 1.421630094043887, 1.263157894736842, 1.3675213675213675, 1.3987341772151898
Ben Chiarot, 1.408273381294964, 1.4285714285714286, 1.3580246913580247, 1.4336917562724014
Magnus Hellberg, 20.157894736842106, 0, 23.0, 12.142857142857142
Olli Maatta, 1.3110367892976589, 1.3888888888888888, 1.2962962962962963, 1.3818770226537216
Dominik Kubalik, 2.319702602230483, 2.357142857142857, 1.975, 2.3206106870229006
Andrew Copp, 1.5027223230490019, 1.0833333333333333, 1.3398058252427185, 1.5913978494623655
Adam Erne, 1.2434782608695651, 0.95, 1.3424657534246576, 1.3131868131868132
Robert Hagg, 1.0304878048780488, 1.1818181818181819, 0.8679245283018868, 1.1158536585365855
Jordan Oesterle, 1.247787610619469, 1.0, 1.2105263157894737, 1.2307692307692308
Dylan Larkin, 2.9719789842381785, 3.0, 3.053763440860215, 2.9661016949152543
Robby Fabbri, 1.7424242424242424, 2.1538461538461537, 1.825, 1.7796610169491525
Jake Walman, 1.968, 1.4, 2.04, 2.1578947368421053
Ville Husso, 26.700934579439252, 33.0, 25.761904761904763, 26.775862068965516
Austin Czarnik, 1.120253164556962, 1.2857142857142858, 0.8260869565217391, 1.2151898734177216
Gustav Lindstrom, 0.6198347107438017, 0.6, 0.3333333333333333, 0.6190476190476191
Pius Suter, 1.7920792079207921, 1.6153846153846154, 1.5555555555555556, 1.9090909090909092
Joe Veleno, 1.108695652173913, 0.8, 1.2272727272727273, 1.0615384615384615
Filip Zadina, 2.0053475935828877, 2.1666666666666665, 2.2195121951219514, 1.989795918367347
Moritz Seider, 2.013333333333333, 2.5, 2.3181818181818183, 2.16
Lucas Raymond, 2.0774647887323945, 2.5, 2.5, 2.3194444444444446
Simon Edvinsson, 1.0, 0, 1.0, 1.0
Darren Helm, 1.8824969400244798, 1.9705882352941178, 1.9241379310344828, 1.9405940594059405
Erik Johnson, 2.0363436123348015, 2.0833333333333335, 1.9466666666666668, 2.150561797752809
Keith Kinkaid, 25.366863905325445, 34.0, 25.023255813953487, 24.38888888888889
Charles Hudon, 2.0522388059701493, 5.0, 1.625, 2.116883116883117
Sampo Ranta, 0.875, 0.0, 0, 0.7272727272727273
Jean-Luc Foudy, 1.3333333333333333, 0, 0, 0.8
Ben Meyers, 0.9210526315789473, 0.0, 0.0, 0.9545454545454546
Jack Johnson, 0.375, 0, 0, 0
Andrew Cogliano, 1.5464344941956882, 1.7321428571428572, 1.555045871559633, 1.5557377049180328
Lars Eller, 1.7287234042553192, 1.5, 1.7232704402515724, 1.7349137931034482
Josh Manson, 1.2569721115537849, 1.4375, 1.2926829268292683, 1.321285140562249
Matt Nieto, 1.4395604395604396, 1.103448275862069, 1.5339805825242718, 1.5080385852090032
Brad Hunt, 1.5283687943262412, 1.7142857142857142, 1.368421052631579, 1.4244604316546763
Kurtis MacDermid, 0.7230046948356808, 0.7777777777777778, 0.6388888888888888, 0.6513761467889908
Artturi Lehkonen, 2.1434599156118144, 2.2, 2.260869565217391, 2.1554621848739495
Nathan MacKinnon, 3.8791366906474822, 3.6285714285714286, 3.891891891891892, 4.12280701754386
Valeri Nichushkin, 1.8941441441441442, 2.05, 2.0697674418604652, 2.049107142857143
Jonas Johansson, 0.8, 0, 1.0, 0.6666666666666666
Devon Toews, 2.053156146179402, 2.375, 2.435483870967742, 2.2532467532467533
Mikko Rantanen, 2.726890756302521, 2.3, 2.686046511627907, 2.809917355371901
Evan Rodrigues, 2.3270777479892764, 2.1, 2.2278481012658227, 2.2916666666666665
Denis Malgin, 1.4344262295081966, 0.6666666666666666, 1.5, 1.3902439024390243
Samuel Girard, 1.3781094527363185, 1.05, 1.2985074626865671, 1.5073891625615763
Cale Makar, 2.6952789699570814, 2.5, 3.090909090909091, 2.7586206896551726
Alexandar Georgiev, 26.98324022346369, 21.333333333333332, 24.3, 26.21951219512195
Pavel Francouz, 26.958333333333332, 31.0, 26.09090909090909, 24.916666666666668
Logan O'Connor, 1.3802083333333333, 1.25, 1.326086956521739, 1.4183673469387754
Bowen Byram, 1.4683544303797469, 1.3333333333333333, 1.6428571428571428, 1.5384615384615385
Alex Newhook, 1.5103448275862068, 2.1666666666666665, 1.56, 1.5633802816901408
Ryan Murray, 0.9258426966292135, 0.42857142857142855, 0.8412698412698413, 1.0482456140350878
Evander Kane, 3.544589774078478, 3.1333333333333333, 4.038961038961039, 3.7623529411764705
Mattias Ekholm, 1.6236263736263736, 1.5769230769230769, 1.7424242424242424, 1.721311475409836
Nick Bjugstad, 2.232673267326733, 1.8095238095238095, 2.344, 2.3322147651006713
Zach Hyman, 2.375, 2.0833333333333335, 2.3684210526315788, 2.3891213389121337
Jack Campbell, 25.688622754491018, 26.5, 26.77777777777778, 24.123287671232877
Ryan Nugent-Hopkins, 2.3751584283903675, 2.25, 2.437037037037037, 2.418781725888325
Cody Ceci, 1.4791965566714491, 1.3125, 1.6356589147286822, 1.440922190201729
Devin Shore, 1.1079136690647482, 1.3571428571428572, 1.1097560975609757, 1.109452736318408
Brett Kulak, 1.3613861386138615, 1.3571428571428572, 1.5294117647058822, 1.3842364532019704
Darnell Nurse, 2.360146252285192, 1.7727272727272727, 2.1414141414141414, 2.397810218978102
Leon Draisaitl, 2.637380191693291, 2.1785714285714284, 2.607843137254902, 2.65814696485623
Warren Foegele, 1.7121661721068249, 1.6666666666666667, 1.3454545454545455, 1.8404907975460123
Connor McDavid, 3.4039497307001794, 2.7916666666666665, 3.1881188118811883, 3.4928057553956835
Derek Ryan, 1.2520491803278688, 1.0, 1.3440860215053763, 1.2016460905349795
Vincent Desharnais, 0.32, 1.0, 0.1111111111111111, 0.2
Stuart Skinner, 28.017857142857142, 20.0, 29.0, 28.75
Kailer Yamamoto, 1.456896551724138, 1.1666666666666667, 1.8333333333333333, 1.5378151260504203
Klim Kostin, 0.8901098901098901, 1.3333333333333333, 0.5, 0.86
Ryan McLeod, 1.161764705882353, 1.6, 1.3636363636363635, 1.2923076923076924
Evan Bouchard, 2.2674418604651163, 2.0, 2.3333333333333335, 2.372093023255814
Philip Broberg, 0.9032258064516129, 1.6666666666666667, 1.6666666666666667, 0.7878787878787878
Alexander Edler, 2.076171875, 1.917808219178082, 2.2513966480446927, 2.0584795321637426
Anze Kopitar, 2.40078125, 2.5238095238095237, 2.2767857142857144, 2.4461778471138844
Drew Doughty, 2.1126500461680515, 2.0384615384615383, 2.046153846153846, 2.101663585951941
Phillip Danault, 1.7911275415896488, 1.6521739130434783, 1.9770114942528736, 1.8228782287822878
Joonas Korpisalo, 26.088785046728972, 22.857142857142858, 25.324324324324323, 24.74137931034483
Pheonix Copley, 24.096774193548388, 27.0, 25.0, 24.75
Kevin Fiala, 2.6556701030927834, 2.6666666666666665, 2.6144578313253013, 2.830578512396694
Adrian Kempe, 2.1739130434782608, 2.05, 2.058139534883721, 2.168103448275862
