Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at condition,Average,PP Line,Average
Darren Helm,1.88249694002448,1.69565217391304,1.92413793103448,1.94059405940594,,,
Erik Johnson,2.0363436123348,2.22222222222222,1.94666666666667,2.15056179775281,,,
Keith Kinkaid,25.3668639053254,30.2307692307692,25.0232558139535,24.3888888888889,,,
Charles Hudon,2.05223880597015,0.8,1.625,2.11688311688312,,,
Sampo Ranta,0.875,0,0,0.727272727272727,,,
Jean-Luc Foudy,1.33333333333333,0,0,0.8,,,
Ben Meyers,0.921052631578947,0,0,0.954545454545455,,,
Jack Johnson,0.375,0,0,0,,,
Andrew Cogliano,1.54598177299089,1.54166666666667,1.55251141552511,1.55482815057283,,,
Lars Eller,1.72794899043571,1.89583333333333,1.71875,1.73333333333333,,,
Josh Manson,1.25697211155378,1.13333333333333,1.29268292682927,1.32128514056225,,,
Matt Nieto,1.43730407523511,1.11764705882353,1.51923076923077,1.50320512820513,,,
Brad Hunt,1.52296819787986,1.33333333333333,1.3448275862069,1.41428571428571,,,
Kurtis MacDermid,0.724299065420561,0.2,0.648648648648649,0.654545454545455,,,
Artturi Lehkonen,2.14345991561181,1.83333333333333,2.26086956521739,2.15546218487395,,,
Nathan MacKinnon,3.88218390804598,3.82352941176471,3.91071428571429,4.12827988338192,,,
Valeri Nichushkin,1.88988764044944,2.11111111111111,2.04597701149425,2.04,,,
Jonas Johansson,0.8,0,1,0.666666666666667,,,
Devon Toews,2.05298013245033,2.16666666666667,2.42857142857143,2.25161290322581,,,
Mikko Rantanen,2.73165618448637,2.8,2.71264367816092,2.81893004115226,,,
Evan Rodrigues,2.32352941176471,2.4,2.2125,2.28497409326425,,,
Denis Malgin,1.44081632653061,1.33333333333333,1.54838709677419,1.40322580645161,,,
Samuel Girard,1.37468982630273,1.42857142857143,1.27941176470588,1.5,,,
Cale Makar,2.69527896995708,2.8,3.09090909090909,2.75862068965517,,,
Alexandar Georgiev,26.9833333333333,26.375,24.3658536585366,26.2289156626506,,,
Pavel Francouz,26.9583333333333,31,26.0909090909091,24.9166666666667,,,
Logan O'Connor,1.38341968911917,1.33333333333333,1.34042553191489,1.42424242424242,,,
Bowen Byram,1.45,1.5,1.53333333333333,1.5,,,
Alex Newhook,1.51369863013699,1.33333333333333,1.57692307692308,1.56944444444444,,,
Ryan Murray,0.925842696629214,1.15384615384615,0.841269841269841,1.04824561403509,,,
Evander Kane,3.54275534441805,3.85714285714286,4.0258064516129,3.75821596244131,,,
Mattias Ekholm,1.62825788751715,1.72,1.76691729323308,1.73024523160763,,,
Nick Bjugstad,2.23228995057661,2.88235294117647,2.34126984126984,2.33110367892977,,,
Zach Hyman,2.37832310838446,2.83333333333333,2.38541666666667,2.39583333333333,,,
Jack Campbell,25.702380952381,29.7142857142857,26.8421052631579,24.1756756756757,,,
Ryan Nugent-Hopkins,2.38101265822785,2.325,2.47058823529412,2.43037974683544,,,
Cody Ceci,1.4785100286533,1.625,1.63076923076923,1.43965517241379,,,
Devin Shore,1.10765550239234,1.66666666666667,1.10843373493976,1.10891089108911,,,
Brett Kulak,1.36049382716049,1.46153846153846,1.52173913043478,1.38235294117647,,,
Darnell Nurse,2.36313868613139,2.45454545454545,2.16,2.40363636363636,,,
Leon Draisaitl,2.64433811802233,2.12903225806452,2.6504854368932,2.67197452229299,,,
Warren Foegele,1.71301775147929,1.57142857142857,1.35714285714286,1.84146341463415,,,
Connor McDavid,3.40860215053763,3.40909090909091,3.2156862745098,3.50179211469534,,,
Derek Ryan,1.25153374233129,1.06666666666667,1.34042553191489,1.20081967213115,,,
Vincent Desharnais,0.32,0,0.111111111111111,0.2,,,
Stuart Skinner,28.0178571428571,16,29,28.75,,,
Kailer Yamamoto,1.46351931330472,1.16666666666667,1.86046511627907,1.55,,,
Klim Kostin,0.891304347826087,1.66666666666667,0.555555555555556,0.862745098039216,,,
Ryan McLeod,1.16176470588235,3,1.36363636363636,1.29230769230769,,,
Evan Bouchard,2.26589595375723,3,2.32,2.36781609195402,,,
Philip Broberg,0.888888888888889,0.5,1.5,0.764705882352941,,,
Nick Bonino,1.55893074119077,1.33333333333333,1.65771812080537,1.37652811735941,,,
Dmitry Kulikov,1.17931034482759,1.26923076923077,1.31410256410256,1.11161731207289,,,
Marcus Pettersson,1.12465373961219,1.14285714285714,1.1304347826087,1.16292134831461,,,
Jeff Carter,3.11075181891673,3.21212121212121,3.07916666666667,2.97899838449111,,,
Evgeni Malkin,3.27973358705994,3.31578947368421,3.2603550295858,3.16091954022989,,,
Sidney Crosby,3.17996604414261,2.83333333333333,3.32444444444444,3.05245346869712,,,
Kris Letang,2.6012084592145,3.47368421052632,2.60843373493976,2.482,,,
Jeff Petry,1.83625730994152,1.92592592592593,1.63448275862069,1.7972027972028,,,
Brian Dumoulin,1.17790262172285,1.25,1.22,1.18250950570342,,,
Jason Zucker,2.31006493506494,2.15384615384615,2.44578313253012,2.26366559485531,,,
Mikael Granlund,1.86314363143631,1.94117647058824,1.53383458646617,1.81147540983607,,,
Bryan Rust,2.31034482758621,3.1,2.26506024096386,2.13278008298755,,,
Taylor Fedun,1.390625,1.71428571428571,1,1.34285714285714,,,
Josh Archibald,1.13605442176871,1.33333333333333,1.03030303030303,1.11486486486487,,,
Rickard Rakell,2.54616588419405,2.73333333333333,2.60975609756098,2.37931034482759,,,
Chad Ruhwedel,1.17763157894737,1.42857142857143,1.28333333333333,1.17197452229299,,,
Jake Guentzel,2.77551020408163,3,2.7710843373494,2.74311926605505,,,
Tristan Jarry,26.510101010101,26.75,25.3333333333333,25.4239130434783,,,
Mark Friedman,1.12727272727273,1,1.16666666666667,1.17241379310345,,,
Danton Heinen,1.64089775561097,1.86666666666667,1.59701492537313,1.76884422110553,,,
Casey DeSmith,26.3076923076923,41.5,21.8260869565217,25.5797101449275,,,
Alex Nylander,1.37777777777778,1.5,1.54545454545455,1.36363636363636,,,
Pierre-Olivier Joseph,1.55421686746988,0,2,1.65909090909091,,,
Ryan Poehling,1.31746031746032,1,0.888888888888889,1.28787878787879,,,
Drew O'Connor,1.45588235294118,0,1.27272727272727,1.5,,,
Zack Kassian,1.20726172465961,2.07142857142857,1.10569105691057,1.21183800623053,,,
Patrik Nemeth,0.969574036511156,0.642857142857143,0.933962264150943,0.852589641434263,,,
Travis Boyd,0.944029850746269,0.785714285714286,0.729166666666667,0.894736842105263,,,
Brett Ritchie,1.61942257217848,1.54545454545455,1.86904761904762,1.67582417582418,,,
Liam O'Brien,0.776785714285714,0.666666666666667,0.888888888888889,0.71875,,,
Josh Brown,0.800865800865801,0.142857142857143,1.02564102564103,0.801801801801802,,,
Laurent Dauphin,1.24137931034483,2.4,1.04,1.08695652173913,,,
Nick Schmaltz,1.61927710843374,1.35714285714286,1.82608695652174,1.59047619047619,,,
Christian Fischer,1.53886010362694,1.41666666666667,1.46031746031746,1.62303664921466,,,
Lawson Crouse,1.61557177615572,0.866666666666667,1.73611111111111,1.53398058252427,,,
Karel Vejmelka,29.71875,28,34.0769230769231,29.3469387755102,,,
Connor Ingram,31.9642857142857,26,38.75,30.8823529411765,,,
Clayton Keller,2.4906976744186,1.875,2.21052631578947,2.30593607305936,,,
Juuso Valimaki,1.27027027027027,1,1.47826086956522,1.19753086419753,,,
Barrett Hayton,1.66463414634146,0.8,1.88461538461538,1.66666666666667,,,
Jack McBain,0.111111111111111,0,0,0,,,
Ivan Prosvetov,25.8888888888889,0,30.75,22.1666666666667,,,
Victor Soderstrom,1.05263157894737,0,1.7,0.882352941176471,,,
Matias Maccelli,0.853333333333333,1,0.666666666666667,0.829268292682927,,,
Connor Mackey,0.740740740740741,0,0.5,0.8,,,
