Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at condition
Cam Atkinson, 2.9971428571428573, 2.8125, 2.8120805369127515, 3.1376404494382024
Ryan Ellis, 1.8886925795053005, 1.875, 1.8703703703703705, 2.0277777777777777
Sean Couturier, 2.187239944521498, 2.4285714285714284, 2.0955882352941178, 2.26027397260274
Travis Konecny, 2.3333333333333335, 2.6666666666666665, 2.2875, 2.3347280334728033
Justin Braun, 1.3005988023952095, 1.5769230769230769, 1.361963190184049, 1.3429256594724222
James van Riemsdyk, 2.6713362068965516, 2.2941176470588234, 2.65625, 2.7775330396475773
Nicolas Deslauriers, 1.0590277777777777, 1.0, 1.1603773584905661, 1.0476190476190477
Kevin Hayes, 2.135048231511254, 1.8461538461538463, 1.9152542372881356, 2.174757281553398
Nick Seeler, 0.8976744186046511, 0.6666666666666666, 0.575, 0.963302752293578
Scott Laughton, 1.5976331360946745, 1.3636363636363635, 1.631578947368421, 1.5333333333333334
Rasmus Ristolainen, 1.9165424739195231, 2.076923076923077, 2.1379310344827585, 1.9427710843373494
Travis Sanheim, 1.5371287128712872, 0.5, 1.408450704225352, 1.7044334975369457
Brendan Lemieux, 1.1634980988593155, 0.75, 1.4390243902439024, 1.1843971631205674
Felix Sandstrom, 26.894736842105264, 0, 28.333333333333332, 24.7
Ivan Provorov, 2.042307692307692, 2.0, 2.230769230769231, 2.230769230769231
Wade Allison, 1.507936507936508, 2.0, 1.6666666666666667, 1.65625
Kieffer Bellows, 1.5393258426966292, 0, 1.2352941176470589, 1.6744186046511629
Carter Hart, 26.6734693877551, 27.75, 27.97222222222222, 27.654867256637168
Tanner Laczynski, 0.8125, 0, 0.8571428571428571, 0.9411764705882353
Owen Tippett, 2.3333333333333335, 3.3333333333333335, 3.2142857142857144, 2.1666666666666665
Morgan Frost, 1.6643835616438356, 1.0, 1.4736842105263157, 1.75
Noah Cates, 1.2674418604651163, 3.0, 1.6, 1.2619047619047619
Joel Farabee, 1.8375, 0.75, 1.8372093023255813, 1.8403361344537814
Cam York, 0.8666666666666667, 0.0, 0.75, 0.9142857142857143
Tyson Foerster, 1.6666666666666667, 0, 1.6666666666666667, 2.0
Carl Hagelin, 2.0042075736325384, 1.9333333333333333, 2.2, 2.0386740331491713
John Carlson, 2.3489640130861504, 1.6666666666666667, 2.1301775147928996, 2.3333333333333335
Alex Ovechkin, 4.730597014925373, 4.090909090909091, 4.654166666666667, 4.698198198198198
T.J. Oshie, 2.0555555555555554, 1.7619047619047619, 2.1176470588235294, 2.1194029850746268
Nicklas Backstrom, 25.222760290556902, 27.75, 24.692307692307693, 23.833333333333332
Craig Smith, 2.4744958481613284, 2.5, 2.4825174825174825, 2.4095238095238094
Darcy Kuemper, 26.10662824207493, 25.0, 26.596774193548388, 25.575757575757574
Nick Jensen, 1.4516129032258065, 0.5, 1.7272727272727273, 1.375
Nic Dowd, 1.0372960372960374, 1.3333333333333333, 1.155844155844156, 0.9903381642512077
Matt Irwin, 1.5824175824175823, 2.0, 1.6979166666666667, 1.6553191489361703
Evgeny Kuznetsov, 2.18955223880597, 1.8333333333333333, 2.1557377049180326, 2.2865671641791043
Tom Wilson, 1.526865671641791, 1.7857142857142858, 1.4715447154471544, 1.5256797583081572
Zach Fucale, 15.25, 0, 0, 12.0
