Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Road
Michael Rasmussen, 1.4789915966386555, 1.3243243243243243, 1.5206611570247934, 1.2
David Perron, 2.160919540229885, 1.74, 2.145192307692308, 2.108695652173913
Alex Chiasson, 1.4207221350078494, 1.3968253968253967, 1.3620689655172413, 1.4761904761904763
Ben Chiarot, 1.408273381294964, 1.4336917562724014, 1.3580246913580247, 1.5
Magnus Hellberg, 33.5, 13.833333333333334, 4.0, 21.166666666666668
Olli Maatta, 1.3098827470686767, 1.2875, 1.0454545454545454, 1.37987012987013
Dominik Kubalik, 1.9230769230769231, 2.3134328358208953, 2.111111111111111, 2.3076923076923075
Andrew Copp, 1.4963636363636363, 1.579136690647482, 1.303921568627451, 1.0
Adam Erne, 1.2412790697674418, 1.3333333333333333, 1.0, 1.3093922651933703
Robert Hagg, 0.8653846153846154, 1.0305810397553516, 1.116564417177914, 1.0
Jordan Oesterle, 1.2, 1.2455621301775148, 1.2261904761904763, 1.411764705882353
Dylan Larkin, 3.0543478260869565, 2.9719298245614034, 2.3076923076923075, 2.9659863945578233
Robby Fabbri, 1.825, 1.7424242424242424, 1.4166666666666667, 1.7796610169491525
Jake Walman, 1.967741935483871, 2.0416666666666665, 2.1607142857142856, 1.4444444444444444
Ville Husso, 26.25, 26.80188679245283, 19.666666666666668, 26.964912280701753
Austin Czarnik, 0.8636363636363636, 1.127388535031847, 1.2307692307692308, 1.0
Gustav Lindstrom, 0.6198347107438017, 1.5, 0.6190476190476191, 0.3333333333333333
Pius Suter, 1.7960199004975124, 1.5714285714285714, 1.9183673469387754, 1.6666666666666667
Joe Veleno, 1.1904761904761905, 1.102189781021898, 1.0, 1.046875
Filip Zadina, 1.9896907216494846, 2.0053763440860215, 2.225, 4.25
Moritz Seider, 2.1621621621621623, 2.0134228187919465, 2.3333333333333335
Lucas Raymond, 2.078014184397163, 2.0, 2.5238095238095237, 2.323943661971831
Gustav Nyquist, 2.18, 2.1, 2.171830985915493, 2.32
Jonas Brodin, 1.2767123287671234, 1.3120567375886525, 1.2554945054945055, 1.2142857142857142
Marc-Andre Fleury, 25.558659217877096, 26.006128702757916, 28.103448275862068, 25.90754716981132
Alex Goligoski, 1.5271317829457365, 1.6935483870967742, 1.3333333333333333, 1.62890625
Ryan Reaves, 0.6699386503067485, 0.631578947368421, 0.656441717791411, 0.6698795180722892
Jared Spurgeon, 1.6654761904761906, 1.5590062111801242, 1.7142857142857142, 1.6428571428571428
Marcus Johansson, 0.8222222222222222, 1.1666666666666667, 0.3333333333333333, 0.84
Marcus Foligno, 0.75, 1.1792065663474691, 1.1458333333333333, 1.252717391304348
Mats Zuccarello, 2.139473684210526, 1.9407407407407407, 2.080901856763926, 2.3333333333333335
Jon Merrill, 0.8339552238805971, 0.6153846153846154, 0.9181494661921709, 0.8727272727272727
John Klingberg, 1.9835526315789473, 2.2476190476190476, 2.033112582781457, 1.6428571428571428
Matt Dumba, 1.882051282051282, 2.1666666666666665, 2.03125, 1.9217687074829932
Oskar Sundqvist, 0.6666666666666666, 1.272463768115942, 1.3099415204678362, 1.078125
Ryan Hartman, 2.030425963488844, 2.0, 2.012244897959184, 2.130952380952381
Frederick Gaudreau, 1.4324324324324325, 1.3481781376518218, 1.75, 1.2521008403361344
Jake Middleton, 1.0547945205479452, 1.15, 1.0
Joel Eriksson Ek, 0, 25.0, 'NULL'
Kirill Kaprizov, 3.5833333333333335, 2.3333333333333335, 3.462686567164179, 3.764705882352941
Sam Steel, 1.188976377952756, 1.28, 1.2972972972972974, 1.0
Filip Gustavsson, 0, 26.37142857142857, 27.06896551724138, 22.25
Brandon Duhaime, 1.1176470588235294, 1.2436974789915967, 1.1967213114754098, 1.5
Mason Shaw, 1.6666666666666667, 'NULL', 2.0, 1.5555555555555556
Samuel Walker, 0.8571428571428571, 1.0, 'NULL'
Calen Addison, 0.5, 1.236842105263158, 1.3428571428571427, 1.4
Connor Dewar, 1.1274509803921569, 1.0208333333333333, 1.0714285714285714, 1.5
Matt Boldy, 2.557377049180328, 2.130434782608696, 2.8260869565217392, 3.0
Mark Borowiecki, 0.8013100436681223, 0.6666666666666666, 0.8686440677966102, 0.7538461538461538
Filip Forsberg, 3.1548387096774193, 2.272727272727273, 3.0162337662337664, 2.769230769230769
Ryan McDonagh, 1.5809523809523809, 1.729559748427673, 1.1666666666666667, 1.5144230769230769
Roman Josi, 2.930992736077482, 3.0303030303030303, 2.879432624113475, 2.95
Matt Duchene, 2.4518072289156625, 2.461855670103093, 2.8421052631578947, 2.6178861788617884
Tyson Barrie, 2.293233082706767, 2.206117021276596, 2.1904761904761907, 2.308743169398907
Ryan Johansen, 1.8978622327790975, 2.5483870967741935, 1.8865248226950355, 1.7019867549668874
Kevin Gravel, 0.25, 1.064, 1.1355932203389831, 1.5
Mark Jankowski, 1.1143790849673203, 1.1310344827586207, 1.2641509433962264, 1.5
Colton Sissons, 1.2149532710280373, 1.1036468330134357, 1.0722433460076046, 1.2727272727272727
Juuse Saros, 27.456521739130434, 27.974358974358974, 28.355555555555554, 31.6
Michael McCarron, 1.1369863013698631, 2.0, 1.161764705882353, 1.2765957446808511
Jeremy Lauzon, 0.3333333333333333, 1.1044776119402986, 1.0204081632653061, 1.1851851851851851
Yakov Trenin, 1.6280193236714975, 1.4623655913978495, 1.8717948717948718, 1.8571428571428572
Alexandre Carrier, 0.2, 1.2430555555555556, 1.1594202898550725, 1.6071428571428572
Rasmus Asplund, 0.6666666666666666, 1.411764705882353, 1.4285714285714286, 1.0
Dante Fabbro, 1.379746835443038, 2.5, 1.5609756097560976, 1.263157894736842
Cal Foote, 0.944, 0.0, 0.8947368421052632, 1.1724137931034482
Cody Glass, 1.4230769230769231, 3.3333333333333335, 1.5, 1.5211267605633803
Kiefer Sherwood, 0.0, 1.2718446601941749, 1.8095238095238095, 1.0961538461538463
Kevin Lankinen, 0, 29.775, 28.61904761904762, 29.833333333333332
Philip Tomasino, 1.5054945054945055, 1.6666666666666667, 1.2380952380952381, 1.3333333333333333
Juuso Parssinen, 0.0, 1.119047619047619, 'NULL', 1.0869565217391304
Cole Smith, 1.0, 'NULL'
