Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at condition
Joonas Donskoi, 1.5443037974683544, 1.2857142857142858, 1.45, 1.6906779661016949
Andre Burakovsky, 1.6637323943661972, 2.5714285714285716, 1.7325581395348837, 1.712280701754386
Jordan Eberle, 2.3250539956803458, 2.5, 2.18562874251497, 2.4242424242424243
Justin Schultz, 1.5589123867069485, 1.7777777777777777, 1.7464788732394365, 1.6005917159763314
Martin Jones, 24.76027397260274, 22.6, 24.732394366197184, 23.589041095890412
Jaden Schwartz, 2.2515243902439024, 2.4615384615384617, 2.381679389312977, 2.303125
Philipp Grubauer, 24.366666666666667, 14.8, 24.05, 23.801369863013697
Adam Larsson, 1.2270916334661355, 0.9166666666666666, 1.2335766423357664, 1.2346666666666666
Jamie Oleksiak, 1.097609561752988, 1.0555555555555556, 0.9666666666666667, 1.1124497991967872
Yanni Gourde, 1.6984478935698448, 1.7, 1.641025641025641, 1.8689956331877728
Jaycob Megna, 0.98989898989899, 0.7142857142857143, 1.380952380952381, 1.0
Carson Soucy, 1.1940928270042195, 1.1, 1.6451612903225807, 1.2295081967213115
Oliver Bjorkstrand, 2.44, 2.3, 2.75, 2.5286343612334803
Alex Wennberg, 1.235864297253635, 1.4705882352941178, 1.1226415094339623, 1.2507936507936508
Jared McCann, 2.1239837398373984, 1.9375, 2.234567901234568, 2.040983606557377
Ryan Donato, 1.9840255591054312, 1.3333333333333333, 2.457627118644068, 2.1258278145695364
Daniel Sprong, 2.0509803921568626, 1.7142857142857142, 2.05, 1.7272727272727273
Will Borgen, 1.0084745762711864, 1.0, 1.2941176470588236, 1.180327868852459
Brandon Tanev, 1.4096692111959288, 1.6875, 1.0555555555555556, 1.4739583333333333
Cale Fleury, 0.9672131147540983, 1.0, 0, 1.09375
Morgan Geekie, 1.1317365269461077, 1.6, 1.1071428571428572, 1.036144578313253
Eeli Tolvanen, 1.8579881656804733, 2.0, 1.6153846153846154, 1.963855421686747
Matty Beniers, 1.8289473684210527, 1.3333333333333333, 1.375, 1.7297297297297298
Jesper Froden, 0.9333333333333333, 0, 0.625, 0.875
Cam Atkinson, 2.9971428571428573, 3.075, 2.8120805369127515, 3.1376404494382024
Ryan Ellis, 1.8886925795053005, 2.0, 1.8703703703703705, 2.0277777777777777
Sean Couturier, 2.187239944521498, 2.051282051282051, 2.0955882352941178, 2.26027397260274
Travis Konecny, 2.3333333333333335, 2.739130434782609, 2.2875, 2.3347280334728033
Justin Braun, 1.3005988023952095, 1.1363636363636365, 1.361963190184049, 1.3429256594724222
James van Riemsdyk, 2.6706263498920086, 2.2051282051282053, 2.651898734177215, 2.7765486725663715
Nicolas Deslauriers, 1.0609756097560976, 1.2, 1.1730769230769231, 1.0513698630136987
Kevin Hayes, 2.1354838709677417, 1.3793103448275863, 1.9137931034482758, 2.175895765472313
Nick Seeler, 0.9061032863849765, 1.125, 0.6052631578947368, 0.9813084112149533
Scott Laughton, 1.5960396039603961, 1.4090909090909092, 1.6216216216216217, 1.5296442687747036
Rasmus Ristolainen, 1.9222720478325859, 1.2272727272727273, 2.175438596491228, 1.9545454545454546
Travis Sanheim, 1.5323383084577114, 1.6470588235294117, 1.3768115942028984, 1.6965174129353233
Brendan Lemieux, 1.1532567049808429, 1.5714285714285714, 1.3846153846153846, 1.1654676258992807
Felix Sandstrom, 26.77777777777778, 28.0, 28.0, 24.22222222222222
Ivan Provorov, 2.048262548262548, 1.25, 2.269662921348315, 2.244186046511628
Wade Allison, 1.5081967213114753, 1.5, 1.75, 1.6666666666666667
Kieffer Bellows, 1.5393258426966292, 0.3333333333333333, 1.2352941176470589, 1.6744186046511629
Carter Hart, 26.6, 25.125, 27.6, 27.535714285714285
