Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at condition, Average of Conditions
Nick Foligno, 1.7853839037927846, 1.6666666666666667, 1.712707182320442, 1.8786764705882353, 1.7608585558420322
Taylor Hall, 1.2926829268292683, 0, 0.0, 1.411764705882353, 0.6761119081779053
Anton Stralman, 1.404051172707889, 1.4814814814814814, 1.4037267080745341, 1.464968152866242, 1.4385568787825367
Patrice Bergeron, 3.0729247478665633, 2.8666666666666667, 2.991304347826087, 3.1996927803379416, 3.0326471356743143
David Krejci, 1.7912621359223302, 1.9130434782608696, 1.8529411764705883, 1.8304431599229287, 1.8469224876441794
Brad Marchand, 0.574468085106383, 0, 0.5, 0.5185185185185185, 0.39824665090622535
Dmitry Orlov, 1.3803418803418803, 1.7333333333333334, 1.3037037037037038, 1.420749279538905, 1.4595320492294555
Charlie Coyle, 1.7464607464607464, 1.8695652173913044, 1.7248322147651007, 1.7324675324675325, 1.7683314277711712
Derek Forbort, 0.9934924078091106, 0.7692307692307693, 0.8536585365853658, 1.0044247787610618, 0.9052016230965769
Hampus Lindholm, 1.7315233785822022, 1.7222222222222223, 1.5363636363636364, 1.7747747747747749, 1.6912210029857089
Matt Grzelcyk, 1.5546666666666666, 1.5555555555555556, 1.619047619047619, 1.5591397849462365, 1.5721024065540194
Linus Ullmark, 27.19704433497537, 33.0, 25.2, 26.245283018867923, 27.910581838460825
Connor Clifton, 1.1377777777777778, 1.0, 1.297872340425532, 1.1491228070175439, 1.1461932313052134
Tyler Bertuzzi, 2.006289308176101, 2.2, 2.2711864406779663, 1.9325153374233128, 2.102497771569345
Garnet Hathaway, 1.178173719376392, 1.1428571428571428, 1.0340909090909092, 1.1261261261261262, 1.1203119743626426
Tomas Nosek, 1.3452685421994885, 1.0, 1.2222222222222223, 1.395121951219512, 1.2406531789103057
David Pastrnak, 3.5428082191780823, 3.0, 3.684684684684685, 3.671280276816609, 3.4746932951698444
Pavel Zacha, 1.6543478260869566, 1.0625, 1.5147058823529411, 1.641350210970464, 1.4682259798525905
Jakub Zboril, 0.8194444444444444, 0, 0.6875, 0.9696969696969697, 0.6191603535353536
A.J. Greer, 0.9801980198019802, 1.5, 1.2307692307692308, 0.9130434782608695, 1.15600268220802
Brandon Carlo, 1.3595744680851063, 1.5, 1.381578947368421, 1.3898305084745763, 1.4077459809820259
Jake DeBrusk, 2.4031830238726792, 3.4545454545454546, 2.175438596491228, 2.3089005235602094, 2.5855168996173927
Charlie McAvoy, 1.6336898395721926, 1.3636363636363635, 1.7903225806451613, 1.7513227513227514, 1.6347428837941171
Trent Frederic, 1.431578947368421, 1.5, 1.627906976744186, 1.4065934065934067, 1.4915198326765036
Oskar Steen, 1.375, 0, 2.3333333333333335, 0.8333333333333334, 1.1354166666666667
Jeremy Swayman, 24.40963855421687, 24.333333333333332, 26.066666666666666, 22.31578947368421, 24.281357006975266
Jakub Lauko, 0.8333333333333334, 0.0, 1.0, 1.1666666666666667, 0.75
Sean Monahan, 2.3054331864904554, 2.125, 2.1880341880341883, 2.470414201183432, 2.272220393927019
Cole Caufield, 3.0569105691056913, 3.8333333333333335, 2.933333333333333, 3.0, 3.2058943089430896
Arber Xhekaj, 1.4705882352941178, 2.0, 0, 1.4230769230769231, 1.2234162895927603
Juraj Slafkovsky, 1.0769230769230769, 0.0, 0, 1.6875, 0.6911057692307692
Jake Allen, 25.20506329113924, 26.0, 26.434782608695652, 23.901041666666668, 25.385221891625392
