Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Road
Brendan Gallagher, 3.5, 3.096530920060332, 3.168141592920354, 3.069486404833837
Sean Monahan, 2.142857142857143, 2.3054331864904554, 2.388888888888889, 2.1880341880341883
Jake Evans, 0.2572944297082228, 'No Data', 0.22772277227722773, 0.21983914209115282
Cole Caufield, 3.4, 3.1129032258064515, 2.933333333333333, 3.0569105691056913
Arber Xhekaj, 1.4705882352941178, 2.0, 'No Data', 1.52
Juraj Slafkovsky, 0.0, 1.0769230769230769, 0.6521739130434783, 'No Data'
Jake Allen, 26.54, 25.247448979591837, 26.11111111111111, 26.742424242424242
Mike Hoffman, 0.0, 1.0, 'No Data'
Chris Wideman, 0.75, 1.295373665480427, 1.2868217054263567, 1.1041666666666667
David Savard, 1.4030261348005502, 1.6062992125984252, 1.4666666666666666, 1.3621169916434541
Alex Belzile, 1.2352941176470589, 'No Data', 1.1428571428571428, 1.1875
Joel Edmundson, 1.4372294372294372, 1.3466666666666667, 1.7142857142857142, 1.4525862068965518
Joel Armia, 1.884526558891455, 1.8414634146341464, 1.7685185185185186, 1.2666666666666666
Mike Matheson, 1.9733333333333334, 2.1411764705882352, 2.0277777777777777, 1.25
Chris Tierney, 1.2092624356775301, 1.2549019607843137, 1.170731707317073, 1.2352941176470589
Josh Anderson, 2.423940149625935, 2.4594594594594597, 2.96875, 2.4031007751937983
Jonathan Drouin, 1.8747346072186837, 2.0555555555555554, 1.8152610441767068, 1.5432098765432098
Christian Dvorak, 1.5829383886255923, 1.4811320754716981, 1.2, 1.7792207792207793
Anthony Richard, 0.9166666666666666, 'No Data', 1.1666666666666667, 1.0
Sam Montembeault, 26.66304347826087, 18.5, 28.666666666666668, 22.904761904761905
Denis Gurianov, 1.9735849056603774, 2.6, 2.1951219512195124, 1.821705426356589
Rem Pitlick, 0.9107142857142857, 'No Data', 1.1111111111111112, 1.0
Michael Pezzetta, 0.7647058823529411, 1.0101010101010102, 1.0
Nick Suzuki, 1.9485294117647058, 2.036231884057971, 2.75, 2.263157894736842
Johnathan Kovacevic, 1.1428571428571428, 1.1515151515151516, 1.4242424242424243, 1.0
Jordan Harris, 0.25, 1.0285714285714285, 2.5, 0.9142857142857143
Jesse Ylonen, 0.9, 1.146341463414634, 4.0, 0.7619047619047619
Rafael Harvey-Pinard, 1.6666666666666667, 2.4285714285714284, 'No Data', 1.4166666666666667
Kirby Dach, 1.6601941747572815, 2.0, 1.2380952380952381, 1.683168316831683
Kaiden Guhle, 1.0952380952380953, 1.4, 1.5, 1.1304347826086956
Justin Barron, 1.1111111111111112, 1.1935483870967742, 'No Data', 1.5
