Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at HomeRoad
Cam Atkinson, 2.9971428571428573, 3.0, 'No Data', 2.8120805369127515
Ryan Ellis, 1.8886925795053005, 'No Data', 1.5714285714285714, 1.8703703703703705
Sean Couturier, 1.8571428571428572, 2.187239944521498, 2.0955882352941178, 'No Data'
Travis Konecny, 2.3333333333333335, 2.111111111111111, 'No Data', 2.2875
Justin Braun, 1.3005988023952095, 'No Data', 1.1666666666666667, 1.361963190184049
James van Riemsdyk, 2.6742424242424243, 2.0, 'No Data', 2.673076923076923
Nicolas Deslauriers, 1.196078431372549, 1.0646853146853146, 'No Data', 1.4736842105263157
Kevin Hayes, 1.8859649122807018, 2.1310679611650487, 2.0, 'No Data'
Nick Seeler, 0.9052132701421801, 0.5833333333333334, 0.16666666666666666, 'No Data'
Scott Laughton, 1.5984095427435387, 'No Data', 1.6388888888888888, 1.0
Rasmus Ristolainen, 1.9235382308845577, 2.1875, 'No Data', 1.2222222222222223
Travis Sanheim, 1.535, 'No Data', 1.875, 1.3880597014925373
Brendan Lemieux, 0.8, 1.1544401544401544, 'No Data', 1.4054054054054055
Felix Sandstrom, 0, 26.705882352941178, 'No Data', 28.0
Ivan Provorov, 1.4444444444444444, 2.054263565891473, 2.310344827586207, 'No Data'
Wade Allison, 1.5166666666666666, 2.0, 'No Data'
Kieffer Bellows, 1.5568181818181819, 2.0, 'No Data', 1.3125
Carter Hart, 26.551546391752577, 27.352941176470587, 'No Data', 37.0
Tanner Laczynski, 0.7931034482758621, 0.75, 'No Data'
Owen Tippett, 1.5, 2.3011363636363638, 3.125, 'No Data'
Morgan Frost, 1.6619718309859155, 1.4, 'No Data', 1.5
Noah Cates, 0.0, 1.2560975609756098, 'No Data', 1.6666666666666667
Joel Farabee, 1.8347457627118644, 'No Data', 1.8205128205128205, 1.75
Samuel Ersson, 0, 'No Data', 23.9
Cam York, 0.8732394366197183, 0.0, 'No Data', 0.75
Tyson Foerster, 1.0, 'No Data'
