Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Road
Corey Perry, {2.3915857605177995, 2.6226870474658086, 3.0, 2.663716814159292}
Brian Elliott, {24.294545454545453, 20.352941176470587, 23.063157894736843, 23.817843866171003}
Alex Killorn, {1.969620253164557, 1.8756345177664975, 1.9166666666666667}
Ian Cole, {0.9523809523809523, 1.0803814713896458, 1.051948051948052, 1.037837837837838}
Pat Maroon, {1.4723756906077348, 1.4839160839160839, 1.255813953488372, 1.8333333333333333}
Steven Stamkos, {3.230769230769231, 2.9668508287292816, 3.071789686552073, 2.86734693877551}
Zach Bogosian, {1.7812097812097811, 2.151898734177215, 1.6567164179104477, 1.72}
Victor Hedman, {1.7878787878787878, 2.121875, 2.0994475138121547, 2.068522483940043}
Nikita Kucherov, {3.2233009708737863, 2.9713831478537363, 3.611111111111111, 2.894904458598726}
Andrei Vasilevskiy, {0.9375, 1.5, 1.4285714285714286, 0.0}
Nicholas Paul, {1.7507987220447285, 1.471698113207547, 1.6883116883116882, 1.8}
Pierre-Edouard Bellemare, {1.1823802163833075, 1.083076923076923, 1.2952380952380953, 1.05}
Haydn Fleury, {0.5, 1.2821576763485478, 1.2338709677419355, 1.3409090909090908}
Brayden Point, {2.4556962025316458, 2.4359504132231407, 2.7142857142857144, 2.447058823529412}
Darren Raddysh, {0.75, 1.0, 'No Data', 1.6666666666666667}
Erik Cernak, {1.6607773851590106, 2.25, 1.4755244755244756, 1.64}
Anthony Cirelli, {1.6952662721893492, 1.3428571428571427, 1.6666666666666667, 1.5975609756097562}
Mikhail Sergachev, {1.7985948477751756, 1.8714285714285714, 1.6363636363636365, 1.8483412322274881}
Ross Colton, {1.8971428571428572, 1.9294117647058824, 1.6666666666666667, 1.0}
Brandon Hagel, {1.8223350253807107, 3.0, 1.6703296703296704, 1.6857142857142857}
Michael Eyssimont, {2.5, 2.142857142857143, 2.369565217391304, 3.0}
Tanner Jeannot, {1.4875, 1.2857142857142858, 1.4133333333333333, 1.25}
Nick Perbix, {1.6428571428571428, 'No Data', 1.4782608695652173, 1.5714285714285714}
