Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Home
Ryan Poehling, 1.3414634146341464, 2.5, 1.3728813559322033, 1.1666666666666667
Jeff Carter, 3.3, 3.116788321167883, 3.110169491525424, 3.2483766233766236
Evgeni Malkin, 3.1333333333333333, 3.2848484848484847, 3.2836676217765044, 3.396584440227704
Sidney Crosby, 3.3555555555555556, 3.1856899488926746, 3.3574660633484164, 3.3145299145299147
Kris Letang, 2.5925925925925926, 2.5985844287158746, 2.2, 2.714867617107943
Jeff Petry, 1.6573426573426573, 1.8405627198124268, 1.88, 1.625
Nick Bonino, 1.5589307411907656, 1.657718120805369, 1.7391304347826086, 1.7894736842105263
Dmitry Kulikov, 1.248259860788863, 1.1793103448275861, 1.314102564102564, 1.4242424242424243
Brian Dumoulin, 1.1754716981132076, 1.1635687732342008, 1.2083333333333333, 1.0714285714285714
Jason Zucker, 2.4050632911392404, 2.303921568627451, 2.6470588235294117, 2.3531353135313533
Mikael Granlund, 1.8610354223433243, 1.9108108108108108, 1.5116279069767442, 1.5294117647058822
Bryan Rust, 2.468, 2.240506329113924, 2.3067484662576687, 2.0
Josh Archibald, 1.1310344827586207, 1.1527777777777777, 1.1875, 1.0
Rickard Rakell, 2.7044025157232703, 2.5385826771653544, 2.2857142857142856, 2.5714285714285716
Chad Ruhwedel, 1.1754966887417218, 1.2758620689655173, 1.1849315068493151, 1.9230769230769231
Jake Guentzel, 2.6582278481012658, 2.7551487414187643, 2.8333333333333335, 2.7828054298642533
Tristan Jarry, 26.4375, 27.76923076923077, 26.716494845360824, 27.0
Marcus Pettersson, 0.7777777777777778, 1.1173184357541899, 1.0714285714285714, 1.0909090909090908
Danton Heinen, 1.636591478696742, 1.5692307692307692, 1.505, 1.2352941176470589
Casey DeSmith, 32.0, 26.578125, 27.366666666666667, 23.047619047619047
Alex Nylander, 1.3793103448275863, 1.5789473684210527, 1.3777777777777778, 1.3333333333333333
Pierre-Olivier Joseph, 1.3513513513513513, 1.4936708860759493, 1.0
Drew O'Connor, 0.0, 1.46875, 1.4705882352941178, 1.2857142857142858
